,loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
4056,4057,2, Graduate, Yes,7800000,22100000,6,533,11900000,2500000,19300000,10800000, Rejected
4058,4059,1, Not Graduate, No,7000000,26600000,16,460,20500000,3300000,27700000,4600000, Rejected
4060,4061,3, Not Graduate, No,5800000,20600000,20,434,8400000,2700000,22600000,7000000, Rejected
4061,4062,5, Not Graduate, No,2000000,6900000,18,516,4600000,3400000,6500000,1600000, Rejected
4062,4063,4, Graduate, No,8300000,24600000,2,382,1400000,1200000,16700000,6600000, Rejected
4066,4067,4, Graduate, No,3700000,12300000,6,364,5900000,4200000,13700000,4400000, Rejected
4068,4069,4, Not Graduate, No,6200000,21900000,12,462,9400000,2000000,16600000,8300000, Rejected
4076,4077,2, Graduate, No,1500000,4900000,16,387,-100000,2400000,3700000,1300000, Rejected
4084,4085,0, Not Graduate, Yes,9300000,29400000,10,351,24200000,6800000,35800000,6100000, Rejected
4086,4087,5, Not Graduate, Yes,1900000,4900000,4,442,3200000,2100000,5800000,900000, Rejected
4088,4089,4, Graduate, Yes,2100000,8200000,20,432,6000000,900000,5600000,1000000, Rejected
4091,4092,5, Not Graduate, No,7700000,19000000,2,539,4000000,14500000,29300000,4100000, Rejected
4094,4095,2, Graduate, No,3900000,13600000,10,373,11600000,1000000,8400000,3600000, Rejected
4095,4096,1, Not Graduate, Yes,5200000,20500000,10,407,1100000,3400000,18200000,3800000, Rejected
4099,4100,3, Graduate, No,8700000,31100000,16,760,400000,1800000,19300000,4800000, Rejected
4108,4109,3, Not Graduate, Yes,9200000,23200000,8,380,13100000,15500000,18900000,6100000, Rejected
4109,4110,3, Graduate, No,3800000,12100000,20,364,4100000,5100000,11600000,3000000, Rejected
4111,4112,4, Not Graduate, No,9700000,31700000,10,342,700000,100000,36700000,12000000, Rejected
4117,4118,1, Graduate, Yes,3500000,13100000,10,477,3200000,6200000,7500000,3100000, Rejected
4119,4120,4, Not Graduate, No,6400000,19700000,20,400,2300000,6100000,20100000,6200000, Rejected
4121,4122,0, Not Graduate, Yes,3300000,8900000,2,418,4200000,6000000,9300000,3700000, Rejected
4122,4123,3, Graduate, No,7800000,21800000,8,517,7700000,5100000,19500000,9100000, Rejected
4123,4124,0, Not Graduate, Yes,6200000,16200000,6,508,5600000,5700000,21500000,3600000, Rejected
4125,4126,0, Graduate, No,9200000,28200000,12,455,19200000,6400000,34700000,5900000, Rejected
4127,4128,2, Graduate, No,5300000,13200000,10,500,4700000,9800000,20400000,2900000, Rejected
4128,4129,5, Not Graduate, Yes,6800000,22800000,14,382,17600000,700000,21700000,5800000, Rejected
4129,4130,1, Not Graduate, No,7900000,20800000,18,538,10000000,9700000,29900000,10600000, Rejected
4132,4133,2, Graduate, Yes,7800000,25400000,10,513,22100000,600000,23500000,9800000, Rejected
4133,4134,5, Graduate, Yes,3000000,8800000,14,402,5600000,5300000,8600000,4200000, Rejected
4138,4139,2, Not Graduate, No,5200000,16800000,18,369,5400000,8600000,17000000,6800000, Rejected
4141,4142,2, Graduate, No,5100000,19100000,8,457,13200000,5100000,16400000,7600000, Rejected
4143,4144,0, Graduate, Yes,2500000,5400000,6,463,1900000,3500000,8200000,1800000, Rejected
4145,4146,0, Graduate, No,3100000,6500000,2,391,100000,3800000,9900000,2400000, Rejected
4150,4151,3, Graduate, No,2300000,5600000,18,420,1300000,600000,6700000,2100000, Rejected
4156,4157,4, Not Graduate, Yes,8900000,27100000,18,363,7800000,9600000,25400000,12700000, Rejected
4157,4158,0, Graduate, No,2400000,5300000,16,482,5500000,4200000,8400000,2600000, Rejected
4160,4161,1, Graduate, No,1600000,3300000,2,513,400000,1300000,4600000,2200000, Rejected
4168,4169,3, Not Graduate, Yes,7100000,16700000,4,435,1700000,9600000,24300000,6200000, Rejected
4173,4174,0, Not Graduate, Yes,8800000,29800000,8,343,20000000,4900000,33300000,12200000, Rejected
4175,4176,3, Not Graduate, Yes,6900000,17900000,18,494,7700000,11200000,15400000,8700000, Rejected
4176,4177,4, Graduate, No,9600000,33000000,14,336,5800000,8500000,30100000,4900000, Rejected
4180,4181,3, Not Graduate, Yes,9700000,30800000,18,471,12700000,3800000,37300000,10400000, Rejected
4181,4182,2, Not Graduate, No,1200000,4100000,8,497,2700000,700000,3700000,1300000, Rejected
4183,4184,2, Graduate, No,6600000,21500000,18,471,13700000,9800000,17100000,4800000, Rejected
4187,4188,3, Not Graduate, No,4100000,14100000,8,367,900000,800000,8900000,5300000, Rejected
4188,4189,4, Graduate, No,5800000,18500000,16,436,1400000,5500000,17100000,6500000, Rejected
4190,4191,2, Graduate, No,4500000,11400000,10,388,11600000,3000000,14300000,2900000, Rejected
4191,4192,2, Graduate, Yes,9900000,37300000,8,385,600000,900000,27400000,14200000, Rejected
4193,4194,5, Graduate, Yes,8900000,19100000,20,329,13300000,11400000,29500000,10000000, Rejected
4198,4199,3, Graduate, Yes,5100000,17000000,10,477,1700000,3300000,13700000,6300000, Rejected
4200,4201,0, Graduate, Yes,6600000,21200000,18,377,1000000,9600000,14800000,9500000, Rejected
4203,4204,4, Graduate, Yes,6400000,21900000,6,437,7000000,10000000,24600000,4100000, Rejected
4207,4208,4, Not Graduate, Yes,2300000,5800000,8,469,6100000,4200000,7900000,2400000, Rejected
4209,4210,4, Graduate, No,900000,2700000,20,327,400000,1200000,2200000,1200000, Rejected
4215,4216,1, Graduate, No,8300000,30000000,18,350,12800000,10800000,23800000,9400000, Rejected
4221,4222,3, Graduate, Yes,1300000,4300000,18,412,600000,900000,5200000,1200000, Rejected
4222,4223,0, Not Graduate, No,8700000,30200000,10,447,14200000,14800000,28200000,6100000, Rejected
4228,4229,1, Graduate, Yes,3200000,9300000,6,483,6700000,1900000,7800000,3600000, Rejected
4236,4237,3, Graduate, Yes,1900000,5300000,12,436,2300000,3500000,5000000,2600000, Rejected
4237,4238,0, Not Graduate, No,9100000,30100000,8,322,26200000,9500000,18800000,5900000, Rejected
4239,4240,0, Not Graduate, Yes,8400000,23000000,14,455,400000,13400000,29800000,9400000, Rejected
4248,4249,4, Graduate, Yes,5300000,14500000,4,352,12600000,4900000,10500000,3500000, Rejected
4252,4253,3, Not Graduate, No,4100000,14100000,10,300,7600000,2100000,8400000,2200000, Rejected
4254,4255,0, Not Graduate, Yes,8900000,27700000,6,372,18200000,14900000,33700000,6100000, Rejected
4255,4256,4, Graduate, No,4800000,12000000,6,441,8400000,1300000,18200000,3200000, Rejected
4256,4257,3, Graduate, Yes,7400000,18300000,4,348,14300000,12600000,17900000,9800000, Rejected
4257,4258,0, Graduate, No,9700000,27500000,18,343,13400000,16500000,20000000,8200000, Rejected
4258,4259,5, Graduate, Yes,9700000,22600000,16,346,23500000,12900000,26800000,13000000, Rejected
4259,4260,0, Not Graduate, Yes,4500000,11500000,14,509,13400000,2300000,15400000,5900000, Rejected
4262,4263,5, Graduate, No,1300000,3000000,20,540,1000000,2300000,3200000,1900000, Rejected
4264,4265,5, Graduate, Yes,1000000,2300000,12,317,2800000,500000,3300000,800000, Rejected
4266,4267,2, Not Graduate, No,6500000,23900000,18,457,1200000,12400000,18100000,7300000, Rejected
107,108,0, Graduate, No,2700000,10600000,6,591,1300000,2700000,9900000,1800000, Approved
4048,4049,2, Not Graduate, No,7400000,22500000,16,834,6400000,12600000,15700000,6000000, Approved
642,643,0, Not Graduate, No,9300000,20100000,10,743,4800000,1800000,21900000,13600000, Approved
472,473,3, Not Graduate, Yes,8800000,28600000,10,775,5200000,5000000,32000000,9600000, Approved
912,913,4, Graduate, No,2500000,5400000,10,592,3400000,1500000,9900000,2900000, Approved
755,756,4, Graduate, No,600000,1600000,20,869,1400000,1000000,1700000,200000, Approved
4126,4127,5, Not Graduate, Yes,7500000,20800000,6,617,100000,14200000,19300000,8200000, Approved
2656,2657,3, Not Graduate, No,3300000,13100000,2,554,6000000,2500000,6700000,3800000, Approved
4070,4071,3, Not Graduate, Yes,5100000,10300000,12,839,13400000,5400000,10700000,7500000, Approved
2043,2044,0, Not Graduate, Yes,4200000,8900000,14,796,3000000,1600000,13300000,4800000, Approved
2331,2332,3, Graduate, No,7900000,27000000,6,601,17700000,7800000,27600000,11500000, Approved
3951,3952,5, Not Graduate, No,2800000,8200000,14,615,7400000,3300000,6700000,2700000, Approved
1429,1430,5, Not Graduate, No,6600000,25800000,10,670,4600000,7200000,20600000,8500000, Approved
2536,2537,0, Graduate, Yes,9800000,34100000,20,760,21500000,9400000,33400000,13600000, Approved
1802,1803,5, Not Graduate, No,6000000,24000000,20,639,300000,7300000,15100000,6600000, Approved
3366,3367,3, Not Graduate, Yes,5400000,14300000,4,595,4100000,2800000,19300000,4900000, Approved
1474,1475,4, Not Graduate, No,1300000,4100000,18,886,2800000,500000,3800000,600000, Approved
4136,4137,4, Graduate, Yes,7100000,18200000,4,790,2500000,2200000,25500000,9600000, Approved
3538,3539,0, Graduate, No,6900000,20700000,16,857,17100000,13700000,14600000,8800000, Approved
1445,1446,1, Graduate, Yes,1800000,4400000,8,689,3200000,2500000,3800000,1600000, Approved
595,596,4, Graduate, Yes,2700000,5400000,6,861,6300000,2400000,6700000,2700000, Approved
1840,1841,5, Graduate, No,4600000,14400000,6,785,6500000,6300000,14700000,6200000, Approved
2249,2250,1, Graduate, No,7000000,21000000,20,554,16900000,6600000,14600000,5600000, Approved
2383,2384,1, Not Graduate, Yes,2800000,5900000,20,728,1000000,3200000,10300000,1400000, Approved
3876,3877,1, Not Graduate, No,1600000,5100000,18,729,2500000,2000000,6200000,900000, Approved
4103,4104,1, Not Graduate, No,6300000,17800000,12,770,6000000,3000000,17000000,3200000, Approved
1794,1795,2, Graduate, Yes,4100000,13500000,4,846,8900000,7800000,11400000,2400000, Approved
788,789,4, Not Graduate, No,1200000,4300000,8,598,1600000,1800000,3200000,1300000, Approved
3818,3819,2, Graduate, No,6000000,17400000,16,806,1800000,2100000,20200000,3500000, Approved
4018,4019,4, Graduate, Yes,9700000,33300000,12,784,14600000,15800000,37900000,6500000, Approved
1576,1577,0, Graduate, Yes,5900000,15100000,10,794,6000000,4300000,14900000,5400000, Approved
1854,1855,5, Not Graduate, No,900000,3100000,20,834,1000000,900000,2100000,1300000, Approved
2755,2756,0, Graduate, No,8600000,31800000,2,895,22600000,15900000,19600000,5100000, Approved
409,410,5, Not Graduate, No,3000000,11800000,6,847,8200000,2200000,7100000,2300000, Approved
2752,2753,1, Graduate, No,200000,300000,12,697,600000,300000,700000,100000, Approved
2127,2128,4, Graduate, No,3400000,8300000,2,567,5700000,1900000,10200000,2700000, Approved
633,634,4, Not Graduate, Yes,8100000,18000000,8,817,1400000,7800000,16900000,10800000, Approved
4116,4117,5, Graduate, Yes,3900000,12700000,8,886,3500000,5800000,14900000,5400000, Approved
2988,2989,1, Graduate, Yes,9300000,19000000,14,689,24000000,11500000,35100000,9000000, Approved
3052,3053,0, Graduate, Yes,200000,600000,8,852,500000,0,400000,200000, Approved
3050,3051,3, Graduate, No,3900000,9800000,6,604,10900000,7300000,7700000,3300000, Approved
2614,2615,2, Not Graduate, Yes,200000,500000,6,746,400000,0,500000,0, Approved
454,455,2, Graduate, No,1800000,4700000,8,792,4500000,1200000,4100000,2200000, Approved
1953,1954,1, Not Graduate, No,4600000,15200000,4,593,13800000,3800000,11700000,3900000, Approved
1909,1910,4, Not Graduate, No,2400000,7300000,4,540,2500000,300000,7800000,2200000, Approved
2084,2085,5, Not Graduate, Yes,6000000,12100000,20,848,13900000,4800000,18000000,3600000, Approved
4178,4179,1, Not Graduate, Yes,3600000,13400000,16,732,5200000,6700000,7300000,3300000, Approved
2083,2084,1, Graduate, No,2400000,8900000,8,835,2400000,1200000,5500000,1100000, Approved
1130,1131,1, Not Graduate, No,300000,1200000,4,342,800000,100000,1100000,200000, Approved
1987,1988,2, Not Graduate, No,4300000,14500000,10,594,11400000,700000,14000000,5300000, Approved
4225,4226,5, Graduate, Yes,3800000,10300000,16,606,7700000,1900000,9900000,2700000, Approved
3290,3291,1, Graduate, Yes,5400000,19300000,12,784,5000000,1800000,20300000,6500000, Approved
2964,2965,2, Not Graduate, No,3100000,9000000,20,892,5000000,5600000,7100000,4000000, Approved
3450,3451,4, Graduate, No,700000,1800000,18,728,400000,1300000,2200000,600000, Approved
1645,1646,0, Not Graduate, No,6200000,12900000,10,695,1900000,3700000,22200000,4200000, Approved
4114,4115,4, Graduate, No,400000,1000000,20,692,500000,400000,1600000,200000, Approved
3640,3641,3, Not Graduate, Yes,7800000,17700000,6,876,15600000,15200000,25100000,10800000, Approved
749,750,4, Not Graduate, No,5700000,19600000,8,691,8800000,2200000,12100000,3000000, Approved
352,353,4, Not Graduate, No,3300000,9700000,14,782,2500000,0,10400000,2200000, Approved
2474,2475,1, Graduate, Yes,7500000,25000000,18,628,3500000,2200000,21700000,4700000, Approved
1777,1778,5, Graduate, Yes,3700000,12000000,12,605,4900000,1800000,13200000,3100000, Approved
829,830,2, Graduate, No,8800000,17700000,14,706,22900000,4300000,30300000,9200000, Approved
3643,3644,4, Not Graduate, Yes,7000000,26700000,4,486,10600000,12200000,18800000,6000000, Approved
4017,4018,3, Graduate, Yes,2200000,4400000,2,861,1300000,2600000,4500000,2300000, Approved
1524,1525,2, Not Graduate, Yes,3000000,7100000,4,819,5400000,4800000,6000000,2100000, Approved
1738,1739,0, Not Graduate, No,7600000,25200000,6,888,12700000,10900000,24500000,7500000, Approved
2903,2904,5, Graduate, Yes,8100000,22500000,2,808,4800000,6100000,16900000,6000000, Approved
4238,4239,0, Not Graduate, No,2200000,7500000,2,333,3400000,600000,6200000,1500000, Approved
1565,1566,2, Not Graduate, Yes,3500000,13300000,4,420,6400000,1700000,8000000,2300000, Approved
3362,3363,1, Graduate, No,2100000,8100000,6,817,4600000,2900000,4900000,2900000, Approved
2007,2008,5, Graduate, No,7900000,28600000,12,812,12100000,14400000,30000000,11700000, Approved
3814,3815,1, Graduate, No,5600000,11700000,10,774,11000000,4300000,13100000,6500000, Approved
1442,1443,1, Graduate, Yes,6000000,23300000,12,672,2000000,11300000,19600000,6400000, Approved
2510,2511,0, Not Graduate, Yes,4600000,15100000,2,417,5600000,3900000,11800000,6600000, Approved
588,589,5, Not Graduate, Yes,1100000,2800000,10,647,2700000,2000000,4300000,1400000, Approved
1709,1710,4, Graduate, No,6300000,15000000,18,750,800000,6500000,15400000,7700000, Approved
1634,1635,0, Graduate, Yes,9800000,38700000,2,611,6600000,10400000,33000000,6000000, Approved
2629,2630,0, Not Graduate, Yes,5600000,20000000,20,606,7100000,500000,20000000,7600000, Approved
361,362,0, Graduate, No,4400000,14100000,2,349,3300000,1300000,8800000,6200000, Approved
2130,2131,5, Not Graduate, Yes,7600000,23000000,10,829,3100000,7300000,17600000,7300000, Approved
3130,3131,3, Not Graduate, No,7100000,27900000,8,583,8900000,7600000,19600000,6300000, Approved
204,205,4, Not Graduate, Yes,9600000,30100000,12,870,300000,6700000,38200000,5600000, Approved
2719,2720,1, Graduate, No,8800000,20200000,6,627,24200000,16100000,17600000,11900000, Approved
1581,1582,1, Graduate, No,9100000,30100000,14,890,17800000,12400000,32500000,7500000, Approved
1730,1731,4, Graduate, Yes,3800000,14000000,6,711,9500000,7300000,14500000,3100000, Approved
2441,2442,5, Not Graduate, No,6800000,20100000,14,839,1900000,600000,15600000,7500000, Approved
1867,1868,4, Not Graduate, Yes,6200000,18300000,4,900,16900000,3400000,15300000,6400000, Approved
305,306,0, Not Graduate, No,7500000,18200000,6,782,7400000,12000000,19800000,4100000, Approved
206,207,2, Graduate, No,9800000,20900000,12,768,3400000,10200000,38600000,13400000, Approved
3788,3789,4, Not Graduate, Yes,3900000,8900000,10,665,9300000,4000000,9200000,5300000, Approved
61,62,3, Not Graduate, Yes,9600000,30500000,18,669,4700000,1900000,26500000,9300000, Approved
2709,2710,5, Not Graduate, Yes,6700000,23600000,14,854,3000000,3300000,19400000,7500000, Approved
3946,3947,1, Graduate, Yes,3500000,10800000,14,632,6900000,1500000,10900000,4200000, Approved
1482,1483,0, Not Graduate, Yes,2300000,6200000,8,712,6800000,1700000,8800000,1500000, Approved
3915,3916,1, Graduate, No,8300000,31800000,16,818,23400000,7400000,32200000,8500000, Approved
2522,2523,0, Not Graduate, Yes,8200000,28800000,4,619,9000000,1100000,23000000,6300000, Approved
245,246,1, Not Graduate, Yes,8000000,28100000,18,725,1900000,12800000,23000000,7500000, Approved
2807,2808,2, Not Graduate, Yes,1600000,6400000,4,787,1000000,300000,5500000,1100000, Approved
1144,1145,1, Not Graduate, No,8400000,24600000,14,817,1800000,13100000,31300000,8200000, Approved
3885,3886,2, Not Graduate, Yes,4500000,16600000,4,679,10300000,3100000,11700000,5000000, Approved
4235,4236,0, Not Graduate, No,3000000,6500000,2,691,7800000,4500000,8900000,2500000, Approved
15,16,5, Not Graduate, No,4700000,10700000,10,794,5700000,3900000,16400000,4400000, Approved
1696,1697,3, Not Graduate, Yes,5800000,18200000,16,835,1000000,6100000,14600000,7900000, Approved
1600,1601,4, Graduate, Yes,1700000,6500000,20,636,1700000,900000,6200000,2300000, Approved
2826,2827,4, Graduate, No,5200000,12900000,16,819,3400000,4100000,16800000,7500000, Approved
1406,1407,4, Graduate, No,7900000,31400000,8,698,16500000,11400000,28700000,5100000, Approved
3285,3286,0, Not Graduate, Yes,9400000,35500000,16,592,9300000,11800000,30500000,5800000, Approved
2388,2389,5, Not Graduate, Yes,8400000,18600000,20,703,2500000,7100000,28800000,9500000, Approved
599,600,1, Not Graduate, Yes,4900000,16800000,12,758,1700000,2700000,11100000,5900000, Approved
1473,1474,3, Graduate, Yes,400000,1100000,6,711,100000,300000,1400000,100000, Approved
302,303,4, Graduate, Yes,2000000,6700000,12,633,100000,800000,4800000,2000000, Approved
1025,1026,5, Not Graduate, No,6100000,23600000,4,725,17400000,5100000,15600000,4800000, Approved
4100,4101,3, Graduate, No,9000000,22700000,16,793,11700000,10800000,35000000,7000000, Approved
3096,3097,3, Graduate, No,7400000,18500000,8,818,10400000,8800000,28000000,8400000, Approved
1549,1550,1, Graduate, Yes,2100000,7300000,16,826,1600000,3500000,7700000,1400000, Approved
2327,2328,4, Graduate, Yes,6100000,21700000,6,860,13900000,900000,14100000,5600000, Approved
3234,3235,1, Not Graduate, No,9900000,23400000,16,687,28200000,3700000,29600000,8200000, Approved
3690,3691,0, Graduate, Yes,5800000,21800000,2,561,4400000,7200000,15000000,4200000, Approved
3445,3446,3, Graduate, No,6600000,14600000,10,841,15300000,12100000,14800000,6000000, Approved
2532,2533,1, Graduate, No,9800000,37900000,4,816,21800000,12200000,26100000,8500000, Approved
1240,1241,4, Graduate, Yes,2200000,7900000,18,848,5100000,1700000,8500000,1600000, Approved
1667,1668,3, Graduate, Yes,2400000,9200000,14,626,300000,3600000,8500000,2000000, Approved
2652,2653,2, Graduate, Yes,7000000,18900000,8,584,13000000,13600000,20600000,5000000, Approved
1758,1759,4, Graduate, No,7900000,30600000,2,569,7600000,3400000,20100000,7400000, Approved
2102,2103,1, Not Graduate, No,7900000,29300000,2,771,17600000,12800000,20400000,4000000, Approved
126,127,4, Not Graduate, Yes,400000,800000,10,859,900000,500000,800000,200000, Approved
181,182,0, Graduate, Yes,900000,2200000,16,566,100000,700000,2000000,600000, Approved
381,382,0, Graduate, No,5300000,17900000,6,678,4700000,3900000,14400000,3600000, Approved
2685,2686,1, Not Graduate, No,8400000,32500000,14,698,20600000,5900000,17300000,12200000, Approved
2844,2845,3, Graduate, No,8900000,19100000,6,807,2300000,16500000,29900000,10400000, Approved
1124,1125,2, Not Graduate, No,5500000,20400000,12,887,8800000,9400000,12300000,3300000, Approved
1755,1756,0, Graduate, No,3700000,12300000,16,831,8000000,2200000,11200000,2400000, Approved
857,858,2, Not Graduate, No,6800000,18700000,8,781,17600000,900000,23700000,5400000, Approved
1574,1575,4, Not Graduate, Yes,2800000,10000000,12,655,4900000,3600000,8500000,3300000, Approved
3047,3048,4, Graduate, Yes,2000000,7400000,20,596,600000,2300000,4900000,2500000, Approved
832,833,3, Graduate, No,6200000,16700000,10,880,15800000,8200000,20100000,9100000, Approved
1216,1217,0, Graduate, No,400000,1200000,4,766,900000,300000,1200000,300000, Approved
893,894,5, Not Graduate, Yes,7500000,24600000,8,744,1600000,3600000,16700000,9300000, Approved
1444,1445,5, Graduate, Yes,3400000,12300000,10,615,7000000,1600000,11400000,3500000, Approved
414,415,0, Graduate, Yes,800000,2100000,6,760,300000,100000,1600000,600000, Approved
2153,2154,3, Graduate, Yes,9700000,36000000,6,631,3500000,5500000,28500000,7500000, Approved
676,677,5, Not Graduate, Yes,4600000,12800000,14,769,13100000,8600000,12100000,3500000, Approved
3114,3115,4, Graduate, No,1100000,3600000,8,693,2400000,1300000,3800000,1500000, Approved
276,277,4, Not Graduate, No,1700000,4000000,6,829,0,1600000,5200000,1700000, Approved
4139,4140,3, Graduate, No,5600000,20300000,4,330,16100000,5100000,15300000,4200000, Approved
3586,3587,2, Graduate, Yes,2200000,8100000,8,710,500000,2900000,7300000,1000000, Approved
2160,2161,1, Not Graduate, No,5300000,11500000,8,753,10000000,4200000,14400000,3000000, Approved
339,340,1, Not Graduate, No,2700000,9400000,18,704,5300000,2300000,6400000,2400000, Approved
677,678,1, Graduate, No,6500000,23100000,20,741,11400000,8500000,25700000,7900000, Approved
3868,3869,5, Not Graduate, No,9600000,27100000,8,594,25500000,4600000,26800000,13300000, Approved
1575,1576,3, Not Graduate, Yes,7300000,20000000,18,720,15500000,9900000,23000000,9800000, Approved
3071,3072,3, Graduate, No,9400000,20300000,10,649,19600000,6700000,36100000,10000000, Approved
646,647,5, Graduate, Yes,5400000,21200000,20,734,7300000,1800000,11500000,7500000, Approved
303,304,3, Not Graduate, No,4900000,12900000,18,877,1800000,7000000,17900000,3300000, Approved
3610,3611,2, Not Graduate, Yes,8800000,31100000,12,729,12300000,2400000,21900000,9400000, Approved
2940,2941,1, Graduate, Yes,9600000,34100000,20,828,26100000,19000000,20800000,12400000, Approved
4212,4213,0, Not Graduate, No,200000,600000,12,683,400000,200000,400000,0, Approved
1647,1648,4, Not Graduate, Yes,3200000,12800000,8,638,4300000,2600000,8000000,3800000, Approved
1033,1034,3, Graduate, No,600000,1200000,2,752,1100000,500000,2300000,700000, Approved
3841,3842,5, Graduate, Yes,1700000,6500000,14,587,1100000,1000000,6400000,1500000, Approved
1974,1975,3, Graduate, No,4600000,10000000,4,702,6800000,1500000,16100000,4500000, Approved
4069,4070,0, Not Graduate, No,9300000,31900000,2,331,7100000,11200000,23700000,8000000, Approved
115,116,0, Not Graduate, Yes,3300000,10800000,12,797,600000,6000000,7700000,3300000, Approved
3279,3280,5, Not Graduate, No,9800000,26600000,12,664,5200000,2900000,22500000,14100000, Approved
720,721,4, Graduate, No,1800000,4100000,12,670,1900000,2900000,4700000,2200000, Approved
1972,1973,1, Graduate, Yes,8300000,17700000,10,673,23700000,5300000,28700000,4200000, Approved
4106,4107,3, Not Graduate, No,7600000,26300000,18,580,19100000,14600000,25500000,5100000, Approved
4244,4245,3, Not Graduate, No,1800000,5600000,20,860,1900000,1700000,4300000,900000, Approved
1844,1845,2, Graduate, Yes,8000000,28400000,10,607,11400000,3800000,29000000,11600000, Approved
2688,2689,5, Not Graduate, Yes,2100000,6500000,10,796,2400000,2800000,7300000,2700000, Approved
2762,2763,2, Not Graduate, No,1900000,4500000,6,805,2200000,3100000,4800000,2300000, Approved
3175,3176,4, Graduate, No,8500000,17800000,4,698,6700000,4300000,28600000,8000000, Approved
3310,3311,5, Not Graduate, No,8500000,23400000,16,604,25100000,16500000,24500000,4800000, Approved
4021,4022,1, Not Graduate, Yes,7900000,19100000,2,593,20800000,12200000,26100000,7800000, Approved
3041,3042,3, Not Graduate, No,8900000,35200000,10,894,17100000,5600000,27700000,9800000, Approved
2473,2474,3, Not Graduate, Yes,900000,2300000,12,900,1300000,0,3300000,1100000, Approved
1481,1482,3, Graduate, Yes,7500000,25100000,18,554,12500000,7900000,28500000,4700000, Approved
2987,2988,2, Graduate, No,1800000,5300000,2,679,1000000,1400000,5800000,900000, Approved
1098,1099,3, Graduate, Yes,5300000,16900000,2,350,15800000,3100000,14300000,6800000, Approved
631,632,2, Not Graduate, No,8900000,29200000,8,608,10800000,5200000,33500000,11700000, Approved
141,142,4, Not Graduate, No,3600000,7500000,6,894,1100000,6500000,7400000,2800000, Approved
1405,1406,3, Graduate, Yes,8400000,19600000,2,741,21500000,200000,18700000,8300000, Approved
746,747,0, Not Graduate, No,2600000,8400000,18,861,0,3500000,6200000,3800000, Approved
1118,1119,3, Graduate, No,3200000,10100000,20,704,3400000,4800000,9000000,3900000, Approved
3813,3814,5, Graduate, No,3600000,12800000,4,320,2500000,2900000,12600000,2900000, Approved
1040,1041,3, Not Graduate, Yes,8000000,28800000,10,576,18800000,7500000,16300000,11900000, Approved
3661,3662,2, Not Graduate, No,2500000,9600000,4,636,900000,1000000,7300000,2000000, Approved
817,818,0, Not Graduate, No,5200000,18400000,14,600,7300000,9700000,16500000,3600000, Approved
2004,2005,2, Not Graduate, No,9900000,31600000,16,892,4200000,17500000,31400000,12700000, Approved
2396,2397,1, Graduate, Yes,2600000,8600000,6,730,800000,2900000,6000000,3100000, Approved
934,935,3, Graduate, Yes,7900000,29200000,4,399,23200000,5500000,30200000,6900000, Approved
259,260,0, Not Graduate, Yes,300000,1100000,8,789,400000,100000,800000,400000, Approved
323,324,3, Not Graduate, Yes,9500000,24200000,8,879,3100000,17200000,26400000,12700000, Approved
1879,1880,3, Not Graduate, Yes,2700000,10600000,8,840,500000,3000000,9000000,1900000, Approved
968,969,0, Graduate, No,8300000,21400000,2,662,6100000,12300000,24500000,10200000, Approved
3056,3057,5, Graduate, No,6300000,18100000,4,590,5400000,10900000,22400000,8600000, Approved
1253,1254,0, Graduate, Yes,3500000,11700000,14,649,2700000,700000,11400000,4800000, Approved
1986,1987,3, Not Graduate, Yes,300000,500000,6,876,300000,100000,1100000,300000, Approved
479,480,1, Not Graduate, Yes,700000,2700000,20,669,100000,1000000,2600000,500000, Approved
988,989,3, Not Graduate, Yes,800000,2900000,10,644,600000,500000,2900000,400000, Approved
286,287,5, Graduate, Yes,3000000,11800000,10,672,8700000,3600000,9800000,4100000, Approved
1476,1477,2, Graduate, Yes,5400000,10900000,14,741,1300000,6000000,20400000,5600000, Approved
1629,1630,3, Not Graduate, No,4200000,11400000,10,654,8800000,400000,16200000,5700000, Approved
1049,1050,0, Graduate, Yes,1000000,3800000,8,553,2500000,1000000,2100000,1300000, Approved
26,27,4, Graduate, No,8200000,28100000,12,696,11500000,10600000,25300000,7200000, Approved
3556,3557,5, Graduate, No,5200000,20700000,2,538,3200000,2000000,14600000,3600000, Approved
3753,3754,0, Not Graduate, Yes,8200000,19100000,2,764,22900000,8900000,20500000,4000000, Approved
3534,3535,2, Not Graduate, Yes,1300000,4900000,8,582,2100000,1800000,3400000,1700000, Approved
2566,2567,4, Not Graduate, Yes,2200000,8600000,2,461,1400000,3000000,4700000,2100000, Approved
2791,2792,4, Not Graduate, Yes,800000,2800000,16,645,900000,1400000,2300000,600000, Approved
3786,3787,5, Not Graduate, No,4900000,14100000,2,802,3300000,7500000,16100000,2700000, Approved
3635,3636,3, Not Graduate, Yes,5400000,16300000,4,512,1600000,3400000,13100000,6000000, Approved
2714,2715,0, Not Graduate, Yes,8600000,32600000,8,778,21500000,14100000,33600000,11000000, Approved
2736,2737,2, Not Graduate, Yes,5800000,22800000,14,696,12100000,200000,20800000,4800000, Approved
53,54,1, Not Graduate, Yes,8400000,23000000,12,657,15400000,14800000,31900000,8200000, Approved
